timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
530389524.41,46.9,0.54,41.88,10.61,0,0,0,0,0,0,
530389514.39,10,0.2,8.76,2.27,0,0,0,0,0,0,
530389504.36,6.63,0.09,7.7,2.49,0,0,0,0,0,0,
530389494.34,1.48,0.04,1.47,0.55,0,0,0,0,0,0,
530389484.32,0.78,0.02,0.29,0.24,0,0,0,0,0,0,
530389474.28,38.32,0.57,32.56,8.13,0,0,0,0,0,0,
530389464.26,21.38,0.5,23.46,22.14,0,0,0,0,0,0,
530389454.03,133.94,4.83,123.77,63.05,0,0,0,0,0,0,
530389443.80,127.45,4.45,124.53,65.73,0,0,0,0,0,0,
530389433.66,157.79,5.55,166.13,97.16,0,0,0,0,0,0,
530389423.51,229.03,5.73,213.19,93.95,0,0,0,0,0,0,
530389413.37,294.18,6.6,276.19,105.34,0,0,0,0,0,0,
530389403.22,189.53,7.61,193.87,124.67,0,0,0,0,0,0,
530389393.06,179,7.16,174.37,108.08,0,0,0,0,0,0,
530389382.93,330.14,5.32,286.63,64.39,0,0,0,0,0,0,
530389372.86,329.23,6.11,321.88,109.07,0,0,0,0,0,0,
530389362.81,355.4,5.59,339.85,88.89,0,0,0,0,0,0,
530389352.73,378.22,3.13,367.65,46.34,0,0,0,0,0,0,
530389342.67,300.05,3.9,287.62,61.33,0,0,0,0,0,0,
530389332.61,250.08,5.81,240.76,105.47,0,0,0,0,0,0,
530389322.48,88.47,1.81,83.44,45.78,0,0,0,0,0,0,
530389312.43,118.18,2.87,117.59,59.17,0,0,0,0,0,0,
530389302.31,83.32,2.72,78.64,62.96,0,0,0,0,0,0,
530389292.17,94.9,2.31,94.99,50.2,0,0,0,0,0,0,
530389282.01,183.61,3.11,167.29,48.01,0,0,0,0,0,0,
530389271.88,80.35,2.6,77.13,44.92,0,0,0,0,0,0,
530389261.76,129.14,4.84,127.54,82.84,0,0,0,0,0,0,
530389251.71,109.87,2.55,103.31,55.42,0,0,0,0,0,0,
530389241.66,51.46,1.4,50.45,33.15,0,0,0,0,0,0,
530389231.60,70.88,1.61,65.93,31.57,0,0,0,0,0,0,
530389221.54,111.27,2.61,97.98,60.59,0,0,0,0,0,0,
530389211.48,49.2,1.4,50.66,23.43,0,0,0,0,0,0,
530389201.41,102.39,3.26,96.62,71.07,0,0,0,0,0,0,
530389191.27,53.35,1.66,57.38,32.39,0,0,0,0,0,0,
530389181.24,10.04,0.35,9.99,7.96,0,0,0,0,0,0,
530389171.20,135.88,4.63,132.99,77.95,0,0,0,0,0,0,
530389161.12,183.87,7.27,171.86,117.03,0,0,0,0,0,0,
530389151.07,81.25,2.23,84.34,47.53,0,0,0,0,0,0,
530389141.02,101.42,2.93,101.14,58.62,0,0,0,0,0,0,
530389130.97,102.75,3.09,96.23,55.63,0,0,0,0,0,0,
530389120.92,70.54,1.6,70.7,37.28,0,0,0,0,0,0,
530389110.86,95.75,2.51,89.46,63.73,0,0,0,0,0,0,
530389100.74,68.84,2.85,74.33,52.34,0,0,0,0,0,0,
530389090.60,133.52,4,116.25,75.51,0,0,0,0,0,0,
530389080.46,91.28,3.23,67.41,55.37,0,0,0,0,0,0,
530389070.34,79.34,2.64,75.06,65.54,0,0,0,0,0,0,
530389060.19,103.25,2.44,97.4,52.24,0,0,0,0,0,0,
530389050.05,125.3,3.08,110.29,66.67,0,0,0,0,0,0,
530389040.00,233.01,3.97,213.79,63.13,0,0,0,0,0,0,
530389029.94,59.75,2.14,65.81,42.18,0,0,0,0,0,0,
530389019.82,48.01,1.11,45.94,21.36,0,0,0,0,0,0,
530389009.69,76.73,2.27,66.9,37.18,0,0,0,0,0,0,
530388999.64,91.09,3.46,82,57.95,0,0,0,0,0,0,
530388989.60,99.09,5.14,73.18,67.42,0,0,0,0,0,0,
530388979.55,85.53,2.61,73.5,44.61,0,0,0,0,0,0,
530388969.48,122.74,3.03,108.06,54.84,0,0,0,0,0,0,
530388959.37,244.77,4.62,237.95,88.93,0,0,0,0,0,0,
530388949.25,71.68,1.21,68.7,26.23,0,0,0,0,0,0,
530388939.15,117.84,4.77,118.7,83.66,0,0,0,0,0,0,
530388929.10,54.58,6.25,53.12,100.88,0,0,0,0,0,0,
530388919.05,66.54,4.05,64.33,72.45,0,0,0,0,0,0,
